,acid,alcohol,botrytis,color_concentration,floral,high_terpenes,hue,low_terpenes,oak,oxidation,phenolic_bitterness,pommaceous_fruit,pyrazines,residual_sugar,stone_fruit,style_name,thiols,white_pepper
7,moderate,elevated,0,moderate,1,1,gold,0,0,0,1,0,0,off-dry,0,Gewurztraminer (Alsace,0,0
8,moderate,elevated,0,elevated,1,1,yellow,0,0,0,1,0,0,slight_rs,0,Gewurztraminer (Alsace,0,0
9,moderate,elevated,0,moderate,1,1,yellow,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
10,moderate,elevated,0,moderate,1,1,yellow,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
11,moderate,elevated,1,moderate,1,1,yellow,0,0,0,1,0,0,off-dry,1,Gewurztraminer (Alsace,0,0
12,moderate,elevated,1,moderate,1,1,yellow,0,0,0,1,0,0,off-dry,1,Gewurztraminer (Alsace,0,0
13,moderate,elevated,0,elevated,1,1,straw,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
14,moderate,elevated,0,moderate,1,1,yellow,0,0,0,1,0,0,off-dry,1,Gewurztraminer (Alsace,0,0
15,moderate,elevated,0,moderate,1,1,yellow,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
16,moderate,elevated,0,moderate,1,1,yellow,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
17,moderate,elevated,1,moderate,1,1,yellow,0,0,0,1,0,0,off-dry,0,Gewurztraminer (Alsace,0,0
18,diminished,elevated,0,moderate,1,1,yellow,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
19,moderate,elevated,0,moderate,1,1,yellow,0,0,0,1,0,0,slight_rs,0,Gewurztraminer (Alsace,0,0
20,elevated,elevated,0,light,1,1,yellow,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
21,moderate,elevated,0,elevated,1,1,yellow,0,0,0,1,0,0,slight_rs,0,Gewurztraminer (Alsace,0,0
22,elevated,moderate,1,moderate,1,1,yellow,0,0,0,1,0,0,off-dry,1,Gewurztraminer (Alsace,0,0
23,moderate,elevated,0,moderate,1,1,gold,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
24,diminished,moderate,0,elevated,1,1,yellow,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
25,moderate,elevated,0,moderate,1,1,yellow,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
26,moderate,elevated,1,light,1,1,yellow,0,0,0,1,0,0,off-dry,0,Gewurztraminer (Alsace,0,0
27,moderate,elevated,0,moderate,1,1,yellow,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
28,diminished,elevated,0,moderate,1,1,gold,0,0,0,1,0,0,slight_rs,1,Gewurztraminer (Alsace,0,0
29,moderate,moderate,1,elevated,1,1,yellow,0,0,0,1,0,0,slight_rs,0,Gewurztraminer (Alsace,0,0
0,elevated,moderate,0,elevated,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
1,elevated,moderate,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
2,elevated,elevated,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
3,elevated,moderate,0,elevated,0,0,yellow,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
4,elevated,moderate,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
5,elevated,moderate,0,elevated,0,0,yellow,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
6,elevated,moderate,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
7,elevated,moderate,0,elevated,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
8,elevated,moderate,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
9,elevated,elevated,0,elevated,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
10,elevated,elevated,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
11,elevated,moderate,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
12,elevated,moderate,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
13,elevated,moderate,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
14,elevated,elevated,0,elevated,0,0,yellow,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
15,elevated,moderate,0,elevated,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
16,elevated,moderate,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
17,elevated,moderate,0,elevated,0,0,yellow,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
18,elevated,moderate,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
19,elevated,elevated,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
20,elevated,elevated,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
21,elevated,elevated,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
22,elevated,moderate,0,elevated,0,0,yellow,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
23,elevated,moderate,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
24,elevated,elevated,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
25,elevated,moderate,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
26,elevated,elevated,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
27,elevated,moderate,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
28,elevated,moderate,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
29,elevated,moderate,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Burgundy - CdB Chardonnay,0,0
0,elevated,elevated,0,light,0,0,gold,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
1,elevated,elevated,0,moderate,0,0,yellow,0,1,0,0,0,0,dry,0,Sonoma Chardonnay,0,0
2,moderate,elevated,0,light,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,1,0
3,moderate,elevated,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
4,elevated,elevated,0,elevated,0,0,gold,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
5,moderate,elevated,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
6,moderate,elevated,0,light,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
7,moderate,elevated,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
8,moderate,elevated,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
9,elevated,elevated,0,light,0,0,yellow,0,1,0,0,0,0,dry,0,Sonoma Chardonnay,0,0
10,elevated,elevated,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
11,elevated,moderate,0,light,0,0,gold,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
12,elevated,elevated,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,1,0
13,moderate,moderate,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,1,0
14,moderate,elevated,0,light,0,0,yellow,0,1,0,0,0,0,dry,0,Sonoma Chardonnay,0,0
15,elevated,elevated,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
16,moderate,moderate,0,light,0,0,gold,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
17,elevated,moderate,0,elevated,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,1,0
18,elevated,elevated,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,1,0
19,moderate,elevated,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,1,0
20,moderate,elevated,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
21,moderate,elevated,0,light,0,0,gold,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
22,elevated,elevated,0,light,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
23,elevated,elevated,0,light,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
24,elevated,elevated,0,light,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
25,moderate,elevated,0,moderate,0,0,gold,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
26,moderate,moderate,0,light,0,0,gold,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
27,elevated,elevated,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
28,moderate,moderate,0,elevated,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
29,elevated,elevated,0,moderate,0,0,yellow,0,1,0,0,1,0,dry,0,Sonoma Chardonnay,0,0
0,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
1,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
2,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
3,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
4,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
5,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
6,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
7,high,moderate,0,moderate,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
8,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
9,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
10,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
11,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
12,high,moderate,0,moderate,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
13,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
14,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
15,high,moderate,0,moderate,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
16,high,moderate,0,moderate,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
17,high,moderate,0,moderate,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
18,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
19,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
20,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
21,high,moderate,0,moderate,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
22,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
23,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
24,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
25,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
26,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
27,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
28,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
29,high,moderate,0,light,0,0,straw,0,0,0,0,1,0,dry,0,Chablis,0,0
0,high,moderate,1,light,1,0,yellow,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
1,high,moderate,0,light,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
2,high,moderate,1,light,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
3,high,moderate,0,light,1,0,straw,0,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
4,high,moderate,1,light,1,0,yellow,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
5,high,elevated,0,moderate,1,0,yellow,1,0,0,0,0,0,dry,0,Riesling (Alsace),0,0
6,high,elevated,0,light,1,0,yellow,1,0,0,0,0,0,dry,0,Riesling (Alsace),0,0
7,high,elevated,1,light,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
8,high,moderate,0,light,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
9,high,moderate,1,light,1,0,straw,0,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
10,high,moderate,0,light,1,0,yellow,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
11,high,moderate,0,light,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
12,high,moderate,0,moderate,1,0,yellow,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
13,high,elevated,1,light,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
14,high,elevated,1,moderate,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
15,high,moderate,0,light,1,0,yellow,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
16,high,moderate,1,light,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
17,high,elevated,1,moderate,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
18,high,moderate,1,moderate,1,0,yellow,1,0,0,0,0,0,dry,0,Riesling (Alsace),0,0
19,high,elevated,1,light,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
20,high,elevated,0,light,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
21,high,moderate,1,light,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
22,high,elevated,1,light,1,0,yellow,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
23,high,moderate,1,light,1,0,straw,0,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
24,high,elevated,0,light,1,0,straw,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
25,high,elevated,1,light,1,0,yellow,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
26,high,moderate,1,light,1,0,straw,1,0,0,0,0,0,dry,0,Riesling (Alsace),0,0
27,high,moderate,1,light,1,0,yellow,1,0,0,0,0,0,slight_rs,0,Riesling (Alsace),0,0
28,high,elevated,0,moderate,1,0,straw,1,0,0,0,0,0,dry,0,Riesling (Alsace),0,0
29,high,moderate,1,light,1,0,yellow,1,0,0,0,0,0,dry,0,Riesling (Alsace),0,0
0,diminished,high,0,elevated,0,0,gold,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
1,moderate,high,0,moderate,0,0,gold,0,0,0,1,0,0,dry,0,Marsanne/Roussanne blend (N. Rhone),0,0
2,moderate,elevated,0,elevated,0,0,yellow,0,0,0,1,0,0,dry,0,Marsanne/Roussanne blend (N. Rhone),0,0
3,moderate,moderate,0,elevated,0,0,gold,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
4,moderate,elevated,0,elevated,0,0,yellow,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
5,moderate,elevated,0,moderate,0,0,yellow,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
6,moderate,high,0,moderate,0,0,yellow,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
7,diminished,moderate,0,elevated,0,0,gold,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
8,diminished,elevated,0,elevated,0,0,gold,0,1,0,1,0,0,dry,0,Marsanne/Roussanne blend (N. Rhone),0,0
9,moderate,elevated,0,elevated,0,0,yellow,0,0,0,1,0,0,dry,0,Marsanne/Roussanne blend (N. Rhone),0,0
10,moderate,high,0,elevated,0,0,yellow,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
11,moderate,elevated,0,moderate,0,0,gold,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
12,diminished,high,0,moderate,0,0,gold,0,1,0,1,0,0,dry,0,Marsanne/Roussanne blend (N. Rhone),0,0
13,diminished,elevated,0,elevated,0,0,yellow,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
14,diminished,high,0,elevated,0,0,gold,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
15,moderate,elevated,0,moderate,0,0,yellow,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
16,diminished,high,0,moderate,0,0,gold,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
17,moderate,elevated,0,moderate,0,0,gold,0,1,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
18,moderate,elevated,0,elevated,0,0,yellow,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
19,diminished,elevated,0,elevated,0,0,yellow,0,1,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
20,moderate,elevated,0,elevated,0,0,gold,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
21,diminished,high,0,moderate,0,0,gold,0,1,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
22,moderate,elevated,0,moderate,0,0,gold,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
23,moderate,high,0,moderate,0,0,gold,0,1,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
24,diminished,moderate,0,elevated,0,0,gold,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
25,diminished,elevated,0,moderate,0,0,yellow,0,0,0,1,0,0,dry,0,Marsanne/Roussanne blend (N. Rhone),0,0
26,moderate,elevated,0,elevated,0,0,yellow,0,0,0,1,0,0,dry,0,Marsanne/Roussanne blend (N. Rhone),0,0
27,moderate,elevated,0,elevated,0,0,yellow,0,0,0,1,0,0,dry,0,Marsanne/Roussanne blend (N. Rhone),0,0
28,diminished,elevated,0,elevated,0,0,yellow,0,0,0,1,0,0,dry,0,Marsanne/Roussanne blend (N. Rhone),0,0
29,moderate,elevated,0,elevated,0,0,yellow,0,0,0,1,0,0,dry,1,Marsanne/Roussanne blend (N. Rhone),0,0
0,elevated,moderate,0,moderate,1,1,straw,1,0,0,1,0,0,dry,1,Albarino,0,0
1,elevated,elevated,0,moderate,1,0,straw,1,0,0,1,0,0,dry,0,Albarino,0,0
2,elevated,moderate,0,moderate,1,1,yellow,1,0,0,1,0,0,dry,1,Albarino,0,0
3,elevated,elevated,0,light,0,0,straw,1,0,0,1,0,0,dry,1,Albarino,0,0
4,elevated,moderate,0,light,1,0,yellow,1,0,0,1,0,0,dry,1,Albarino,0,0
5,elevated,moderate,0,light,1,1,straw,1,0,0,1,0,0,dry,1,Albarino,0,0
6,elevated,moderate,0,light,1,1,yellow,1,0,0,1,0,0,dry,1,Albarino,0,0
7,elevated,moderate,0,moderate,1,1,straw,1,0,0,1,0,0,dry,1,Albarino,0,0
